case_label,channel,L,temperature_index,temperature,energy_cell_pass,failed_locked_target
pristine_p100,binder_roa,80,7,1.49,True,False
pristine_p100,binder_roa,80,8,1.5,True,False
pristine_p100,binder_roa,80,9,1.51,True,False
pristine_p100,binder_roa,80,10,1.52,True,False
pristine_p100,binder_roa,80,11,1.53,True,False
pristine_p100,binder_roa,80,12,1.54,True,False
pristine_p100,binder_roa,80,13,1.55,True,False
pristine_p100,binder_roa,100,7,1.49,True,False
pristine_p100,binder_roa,100,8,1.5,True,False
pristine_p100,binder_roa,100,9,1.51,True,False
pristine_p100,binder_roa,100,10,1.52,True,False
pristine_p100,binder_roa,100,11,1.53,True,False
pristine_p100,binder_roa,100,12,1.54,True,False
pristine_p100,binder_roa,100,13,1.55,False,True
pristine_p100,binder_roa,120,8,1.5,True,False
pristine_p100,binder_roa,120,9,1.51,True,False
pristine_p100,binder_roa,120,10,1.52,True,False
pristine_p100,binder_roa,120,11,1.53,True,False
pristine_p100,binder_roa,120,12,1.54,True,False
pristine_p100,xi_over_L,40,2,1.44,True,False
pristine_p100,xi_over_L,40,3,1.45,True,False
pristine_p100,xi_over_L,40,4,1.46,True,False
pristine_p100,xi_over_L,40,5,1.47,True,False
