case_label,L,temperature,n,energy_pass_n,energy_pass_fraction,mag_pass_n,mag_pass_fraction,joint_pass_n,joint_pass_fraction,essE_min,essE_p10,essE_median,essM_min,essM_p10,essM_median,tauE_max,tauE_median,tauM_max,tauM_median,measurement_stride_min,measurement_stride_max,realization_threshold,required_pass_fraction,energy_cell_pass,joint_cell_pass,primary_mask_metric,primary_source_cell_pass
pristine_p100,80,1.44,10,10,1.0,10,1.0,10,1.0,2725.1695198937846,2766.8572421412296,2871.525617232799,2997.449297046496,3046.2923542290855,3173.4819747206807,1.834748247219086,1.7413571358423041,1.6680849297189764,1.575623664256719,2,2,100.0,0.9,True,True,corrected_energy_ESS_only,True
pristine_p100,80,1.45,10,10,1.0,10,1.0,10,1.0,2369.584959454464,2462.0174215853226,2593.0484776863696,2703.4407265334735,2708.285453765354,3019.408944943584,2.1100741630091715,1.9284371413532007,1.8494949605983493,1.6567704381817618,2,2,100.0,0.9,True,True,corrected_energy_ESS_only,True
pristine_p100,80,1.46,10,10,1.0,10,1.0,10,1.0,2214.4913705723425,2241.5021086360343,2441.598882388592,2475.841260486632,2646.5575181733357,2848.6436086561343,2.257854813273774,2.0478924245581527,2.019515580339444,1.7552239418573317,2,2,100.0,0.9,True,True,corrected_energy_ESS_only,True
pristine_p100,80,1.47,10,10,1.0,10,1.0,10,1.0,2124.37026156143,2132.286293345844,2247.0844512933263,2384.115117930035,2514.441047214328,2666.8622305968347,2.353638671407948,2.2256350898292565,2.0972141665462694,1.8748625062557878,2,2,100.0,0.9,True,True,corrected_energy_ESS_only,True
pristine_p100,80,1.48,10,10,1.0,10,1.0,10,1.0,1838.5452163307211,1895.944324473919,1990.4561061144354,2224.073044874064,2241.48831479449,2438.269387369318,2.7195414916032123,2.512297717758784,2.2481276015298857,2.051306409204371,2,2,100.0,0.9,True,True,corrected_energy_ESS_only,True
pristine_p100,80,1.49,10,10,1.0,10,1.0,10,1.0,1587.2769069265191,1622.2413682872796,1767.8823555531462,1941.8247255052927,2077.700519668268,2213.2169551131146,3.150048978965879,2.8285361166515752,2.574897689954444,2.2591836814899047,2,2,100.0,0.9,True,True,corrected_energy_ESS_only,True
pristine_p100,80,1.5,10,10,1.0,10,1.0,10,1.0,1199.29858046771,1264.8577901494345,1398.3072041593564,1542.0043834645176,1696.1366961346594,1842.3455110770492,4.169103575566702,3.5760060804015774,3.242532935455208,2.7163452154854837,2,2,100.0,0.9,True,True,corrected_energy_ESS_only,True
pristine_p100,80,1.51,10,10,1.0,10,1.0,10,1.0,867.3879059302483,950.0187036995874,1049.0378693795776,1256.5456915499733,1280.2269819197013,1414.9666813336905,5.764433612476584,4.772761697822693,3.979162901615144,3.5336722060373917,2,2,100.0,0.9,True,True,corrected_energy_ESS_only,True
pristine_p100,80,1.52,10,10,1.0,10,1.0,10,1.0,546.7904786645297,612.2886959085573,660.5264967637424,844.915593273449,873.314031897936,1048.051584103545,9.144270420018838,7.569733497966401,5.917750885184335,4.7726139896705675,2,2,100.0,0.9,True,True,corrected_energy_ESS_only,True
pristine_p100,80,1.53,10,10,1.0,10,1.0,10,1.0,275.33349406838187,291.0416125183955,409.8433210648693,786.7696356353966,807.2535123553732,913.3671250829484,18.159795694010985,12.202927524434472,6.3551003667827,5.475888119149152,2,2,100.0,0.9,True,True,corrected_energy_ESS_only,True
pristine_p100,80,1.54,10,10,1.0,10,1.0,10,1.0,208.4419958400136,227.9428773452899,277.71506447959433,1000.3274064853726,1003.0034303556816,1076.5226898060357,23.98748860492428,18.004141236953192,4.9983635033727465,4.645190826446938,2,2,100.0,0.9,True,True,corrected_energy_ESS_only,True
